Test,RR,OLH
Basic Algorithm Validation,1.0,0.8235294117647058
Privacy Test (ε=0.5),0.8571428571428571,0.0729483282674772
Privacy Test (ε=1.0),0.846153846153846,0.125
Privacy Test (ε=2.0),0.846153846153846,0.6428571428571428
Privacy Test (ε=4.0),0.8333333333333333,0.9523809523809523
Distribution Test (zipf),0.846153846153846,0.9166666666666666
Distribution Test (uniform),1.0,0.0
Distribution Test (normal),1.0,0.0
Sample Size Test (n=5000),0.8571428571428571,0.10169491525423728
Sample Size Test (n=10000),0.846153846153846,0.12903225806451615
Sample Size Test (n=50000),0.846153846153846,0.7857142857142858
Sample Size Test (n=200000),0.846153846153846,0.9565217391304348
Domain Size Test (d=100),1.0,0.9166666666666666
Domain Size Test (d=1000),0.846153846153846,0.7586206896551725
Domain Size Test (d=10000),1.0,0.3157894736842105
Threshold Test (t=0.005),0.9,0.17687074829931973
Threshold Test (t=0.01),0.8148148148148148,0.6666666666666666
Threshold Test (t=0.02),0.8750000000000001,0.8750000000000001
Threshold Test (t=0.05),0.7499999999999999,1.0
Highly Skewed Distribution,0.8571428571428571,0.9
